itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"dDfwastNO3","x"," ",   -999.000    ,"(gN/m3/d)           ","diffusive waste flux NO3                          ","volume    ","volume    "," ","                              "
"fDfwastNH4","x"," ",   -999.000    ,"(gN/m2/d)           ","diffusive waste flux NH4                          ","volume    ","volume    "," ","                              "
"sw1DfwaNH4","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaNH4","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastNH4","x"," ",   -999.000    ,"(gN/m3/d)           ","diffusive waste flux NH4                          ","volume    ","volume    "," ","                              "
"fDfwastPO4","x"," ",   -999.000    ,"(gP/m2/d)           ","diffusive waste flux PO4                          ","volume    ","volume    "," ","                              "
"sw1DfwaPO4","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaPO4","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastPO4","x"," ",   -999.000    ,"(gP/m3/d)           ","diffusive waste flux PO4                          ","volume    ","volume    "," ","                              "
"fDfwastSi ","x"," ",   -999.000    ,"(gSi/m2/d)          ","diffusive waste flux Si                           ","volume    ","volume    "," ","                              "
"sw1DfwaSi ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaSi ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastSi ","x"," ",   -999.000    ,"(gSi/m3/d)          ","diffusive waste flux Si                           ","volume    ","volume    "," ","                              "
"fDfwastSO4","x"," ",   -999.000    ,"(gS/m2/d)           ","diffusive waste flux SO4                          ","volume    ","volume    "," ","                              "
"sw1DfwaSO4","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaSO4","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastSO4","x"," ",   -999.000    ,"(gS/m3/d)           ","diffusive waste flux SO4                          ","volume    ","volume    "," ","                              "
"fDfwast153","x"," ",   -999.000    ,"(g153/m2/d)         ","diffusive waste flux 153                          ","volume    ","volume    "," ","                              "
"sw1Dfwa153","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2Dfwa153","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwast153","x"," ",   -999.000    ,"(g153/m3/d)         ","diffusive waste flux 153                          ","volume    ","volume    "," ","                              "
"fDfwastHCB","x"," ",   -999.000    ,"(gHCB/m2/d)         ","diffusive waste flux HCB                          ","volume    ","volume    "," ","                              "
"sw1DfwaHCB","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaHCB","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastHCB","x"," ",   -999.000    ,"(gHCB/m3/d)         ","diffusive waste flux HCB                          ","volume    ","volume    "," ","                              "
"fDfwastHCH","x"," ",   -999.000    ,"(gHCH/m2/d)         ","diffusive waste flux HCH                          ","volume    ","volume    "," ","                              "
"sw1DfwaHCH","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaHCH","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastHCH","x"," ",   -999.000    ,"(gHCH/m3/d)         ","diffusive waste flux HCH                          ","volume    ","volume    "," ","                              "
"fDfwastFlu","x"," ",   -999.000    ,"(gFlu/m2/d)         ","diffusive waste flux Flu                          ","volume    ","volume    "," ","                              "
"sw1DfwaFlu","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaFlu","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastFlu","x"," ",   -999.000    ,"(gFlu/m3/d)         ","diffusive waste flux Flu                          ","volume    ","volume    "," ","                              "
"fDfwastBap","x"," ",   -999.000    ,"(gBaP/m2/d)         ","diffusive waste flux BaP                          ","volume    ","volume    "," ","                              "
"sw1DfwaBap","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaBap","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastBap","x"," ",   -999.000    ,"(gBaP/m3/d)         ","diffusive waste flux BaP                          ","volume    ","volume    "," ","                              "
"fDfwastAtr","x"," ",   -999.000    ,"(gAtr/m2/d)         ","diffusive waste flux Atrazine                     ","volume    ","volume    "," ","                              "
"sw1DfwaAtr","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaAtr","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastAtr","x"," ",   -999.000    ,"(gAtr/m3/d)         ","diffusive waste flux Atrazine                     ","volume    ","volume    "," ","                              "
"fDfwastMef","x"," ",   -999.000    ,"(gMef/m2/d)         ","diffusive waste flux Mef                          ","volume    ","volume    "," ","                              "
"sw1DfwaMef","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaMef","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastMef","x"," ",   -999.000    ,"(gMef/m3/d)         ","diffusive waste flux Mef                          ","volume    ","volume    "," ","                              "
"fDfwastDiu","x"," ",   -999.000    ,"(gDiu/m2/d)         ","diffusive waste flux Diu                          ","volume    ","volume    "," ","                              "
"sw1DfwaDiu","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaDiu","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastDiu","x"," ",   -999.000    ,"(gDiu/m3/d)         ","diffusive waste flux Diu                          ","volume    ","volume    "," ","                              "
"fDfwastCd ","x"," ",   -999.000    ,"(gCd/m2/d)          ","diffusive waste flux Cd                           ","volume    ","volume    "," ","                              "
"sw1DfwaCd ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaCd ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastCd ","x"," ",   -999.000    ,"(gCd/m3/d)          ","diffusive waste flux Cd                           ","volume    ","volume    "," ","                              "
"fDfwastCu ","x"," ",   -999.000    ,"(gCu/m2/d)          ","diffusive waste flux Cu                           ","volume    ","volume    "," ","                              "
"sw1DfwaCu ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaCu ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastCu ","x"," ",   -999.000    ,"(gCu/m3/d)          ","diffusive waste flux Cu                           ","volume    ","volume    "," ","                              "
"fDfwastZn ","x"," ",   -999.000    ,"(gZn/m2/d)          ","diffusive waste flux Zn                           ","volume    ","volume    "," ","                              "
"sw1DfwaZn ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaZn ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastZn ","x"," ",   -999.000    ,"(gZn/m3/d)          ","diffusive waste flux Zn                           ","volume    ","volume    "," ","                              "
"fDfwastHg ","x"," ",   -999.000    ,"(gHg/m2/d)          ","diffusive waste flux Hg                           ","volume    ","volume    "," ","                              "
"sw1DfwaHg ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaHg ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastHg ","x"," ",   -999.000    ,"(gHg/m3/d)          ","diffusive waste flux Hg                           ","volume    ","volume    "," ","                              "
"fDfwastNi ","x"," ",   -999.000    ,"(gNi/m2/d)          ","diffusive waste flux Ni                           ","volume    ","volume    "," ","                              "
"sw1DfwaNi ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaNi ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastNi ","x"," ",   -999.000    ,"(gNi/m3/d)          ","diffusive waste flux Ni                           ","volume    ","volume    "," ","                              "
"fDfwastPb ","x"," ",   -999.000    ,"(gPb/m2/d)          ","diffusive waste flux Pb                           ","volume    ","volume    "," ","                              "
"sw1DfwaPb ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaPb ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastPb ","x"," ",   -999.000    ,"(gPb/m3/d)          ","diffusive waste flux Pb                           ","volume    ","volume    "," ","                              "
"fDfwastCr ","x"," ",   -999.000    ,"(gCr/m2/d)          ","diffusive waste flux Cr                           ","volume    ","volume    "," ","                              "
"sw1DfwaCr ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaCr ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastCr ","x"," ",   -999.000    ,"(gCr/m3/d)          ","diffusive waste flux Cr                           ","volume    ","volume    "," ","                              "
"fDfwastAs ","x"," ",   -999.000    ,"(gAs/m2/d)          ","diffusive waste flux As                           ","volume    ","volume    "," ","                              "
"sw1DfwaAs ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaAs ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastAs ","x"," ",   -999.000    ,"(gAs/m3/d)          ","diffusive waste flux As                           ","volume    ","volume    "," ","                              "
"fDfwastVa ","x"," ",   -999.000    ,"(gVa/m2/d)          ","diffusive waste flux Va                           ","volume    ","volume    "," ","                              "
"sw1DfwaVa ","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaVa ","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastVa ","x"," ",   -999.000    ,"(gVa/m3/d)          ","diffusive waste flux Va                           ","volume    ","volume    "," ","                              "
"NH3_sw    ","x"," ",    2.00000    ,"(-)                 ","NH3 calculation method (1=Reprofunc, 2=Millero)   ","volume    ","volume    "," ","                              "
"KNH3rf1a  ","x"," ",   -10.0510    ,"(log(mole/l))       ","K NH3/NH4 repro-function 1 coeff a                ","volume    ","volume    "," ","                              "
"KNH3rf1b  ","x"," ",   0.320000E-01,"(log(mole/l)/oC)    ","K NH3/NH4 repro-function 1 coeff b                ","volume    ","volume    "," ","                              "
"NH3       ","x"," ",   -999.000    ,"(gN/m3)             ","Unionized ammonia (NH3)                           ","volume    ","volume    "," ","Charon species                "
"frNH3     ","x"," ",   -999.000    ,"(-)                 ","fraction unionized ammonia (=NH3 / NH4_tot)       ","volume    ","volume    "," ","                              "
"dDumNH3fre","x"," ",   -999.000    ,"(-)                 ","dummy flux to access NH3free                      ","volume    ","volume    "," ","                              "
"DO        ","x"," ",   -999.000    ,"(gO2/m3)            ","dissolved oxygen concentration                    ","volume    ","volume    "," ","                              "
"dDumPosOXY","x"," ",   -999.000    ,"(-)                 ","dummy flux to access posoxy                       ","volume    ","volume    "," ","                              "
"SecchiDept","x"," ",   -999.000    ,"(m)                 ","Secchi depth                                      ","volume    ","volume    "," ","                              "
"dDumSecchi","x"," ",   -999.000    ,"(-)                 ","dummy flux to access Secchi                       ","volume    ","volume    "," ","                              "
"fTEWORBOD ","x"," ",    0.00000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5_2                  ","volume    ","volume    "," ","                              "
"fTEWORBOD2","x"," ",    0.00000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5_2                  ","volume    ","volume    "," ","                              "
"fTEWORBOD3","x"," ",    0.00000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5_3                  ","volume    ","volume    "," ","                              "
"fTEWORCOD ","x"," ",    0.00000    ,"(gO2/m3/d)          ","TEWOR production flux of COD_Cr                   ","volume    ","volume    "," ","                              "
"fTEWOROXY ","x"," ",    0.00000    ,"(gO2/m3/d)          ","TEWOR production flux of OXY                      ","volume    ","volume    "," ","                              "
"fTEWORORGN","x"," ",    0.00000    ,"(gN/m3/d)           ","TEWOR production flux of Org-N                    ","volume    ","volume    "," ","                              "
"fTEWORNH4 ","x"," ",    0.00000    ,"(gN/m3/d)           ","TEWOR production flux of NH4                      ","volume    ","volume    "," ","                              "
"fTEWORNO3 ","x"," ",    0.00000    ,"(gN/m3/d)           ","TEWOR production flux of NO3                      ","volume    ","volume    "," ","                              "
"fTEWOROON ","x"," ",    0.00000    ,"(gN/m3/d)           ","TEWOR production flux of OON                      ","volume    ","volume    "," ","                              "
"fTEWORECol","x"," ",    0.00000    ,"(MPN/ml/d)          ","TEWOR production flux of EColi                    ","volume    ","volume    "," ","                              "
"dTEWORBOD ","x"," ",   -999.000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5                    ","volume    ","volume    "," ","                              "
"dTEWORBOD2","x"," ",   -999.000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5_2                  ","volume    ","volume    "," ","                              "
"dTEWORBOD3","x"," ",   -999.000    ,"(gO2/m3/d)          ","TEWOR production flux of CBOD5_3                  ","volume    ","volume    "," ","                              "
"dTEWORCOD ","x"," ",   -999.000    ,"(gO2/m3/d)          ","TEWOR production flux of COD_Cr                   ","volume    ","volume    "," ","                              "
"dTEWOROXY ","x"," ",   -999.000    ,"(gO2/m3/d)          ","TEWOR production flux of OXY                      ","volume    ","volume    "," ","                              "
"dTEWORORGN","x"," ",   -999.000    ,"(gN/m3/d)           ","TEWOR production flux of Org-N                    ","volume    ","volume    "," ","                              "
"dTEWORNH4 ","x"," ",   -999.000    ,"(gN/m3/d)           ","TEWOR production flux of NH4                      ","volume    ","volume    "," ","                              "
"dTEWORNO3 ","x"," ",   -999.000    ,"(gN/m3/d)           ","TEWOR production flux of NO3                      ","volume    ","volume    "," ","                              "
"dTEWOROON ","x"," ",   -999.000    ,"(gN/m3/d)           ","TEWOR production flux of OON                      ","volume    ","volume    "," ","                              "
"dTEWORECol","x"," ",   -999.000    ,"(MPN/m3/d)          ","TEWOR production flux of EColi                    ","volume    ","volume    "," ","                              "
"OMPS1     ","x"," ",   -999.000    ,"(g/m2)              ","OMP in sediment 1                                 ","volume    ","volume    "," ","Organic micro pollutants      "
"OMPS1-Dis ","x"," ",   -999.000    ,"(g/m2)              ","dissolved mass OMP in S1                          ","volume    ","volume    "," ","Organic micro pollutants      "
"OMPS1-Par ","x"," ",   -999.000    ,"(g/m2)              ","particulate mass OMP in S1                        ","volume    ","volume    "," ","Organic micro pollutants      "
"XDOCOMP   ","x"," ",   0.180000    ,"(-)                 ","efficiency DOC relative to POC for OMP            ","volume    ","volume    "," ","                              "
"lKpocOMPS1","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-POC in S1           ","volume    ","volume    "," ","                              "
"lKphyOMPS1","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-PHYT in S1          ","volume    ","volume    "," ","                              "
"HLTAdsOMPS","x"," ",    0.00000    ,"(d)                 ","half-life time non-eq. adsorption OMP in Sedim    ","volume    ","volume    "," ","                              "
"HLTDesOMPS","x"," ",    0.00000    ,"(d)                 ","half-life time non-eq. desorption OMP in Sedim    ","volume    ","volume    "," ","                              "
"FrOMPDisS1","x"," ",   -999.000    ,"(-)                 ","fraction free dissolved OMP in S1                 ","volume    ","volume    "," ","                              "
"FrOMPDOCS1","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S1 adsorbed to DOC                ","volume    ","volume    "," ","                              "
"FrOMPPOCS1","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S1 adsorbed to POC                ","volume    ","volume    "," ","                              "
"FrOMPPHYS1","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S1 adsorbed to PHYT               ","volume    ","volume    "," ","                              "
"DisOMPS1  ","x"," ",   -999.000    ,"(gOMP/m3p)          ","free dissolved OMP in pore-water S1               ","volume    ","volume    "," ","                              "
"DOCOMPS1  ","x"," ",   -999.000    ,"(gOMP/m3p)          ","OMP adsorbed to DOC in pore-water S1              ","volume    ","volume    "," ","                              "
"QOMPPOCS1 ","x"," ",   -999.000    ,"(gOMP/gC)           ","quality POC for OMP in S1                         ","volume    ","volume    "," ","                              "
"QOMPPHYTS1","x"," ",    0.00000    ,"(gOMP/gC)           ","quality PHYT for OMP in S1                        ","volume    ","volume    "," ","                              "
"OMPS1tot  ","x"," ",   -999.000    ,"(g/m2)              ","total mass OMP in S1                              ","volume    ","volume    "," ","                              "
"QOMPDMS1  ","x"," ",   -999.000    ,"(mgOMP/kgDM)        ","overall sediment quality for OMP in S1            ","volume    ","volume    "," ","                              "
"KdOMPDMS1 ","x"," ",   -999.000    ,"(m3/kgDW)           ","overall partition coefficient OMP in S1           ","volume    ","volume    "," ","                              "
"dSorpOMPS1","x"," ",   -999.000    ,"(gOMP/m3/d)         ","sorption flux OMP inS1                            ","volume    ","volume    "," ","                              "
"OMPS2     ","x"," ",   -999.000    ,"(g/m2)              ","OMP in sediment 2                                 ","volume    ","volume    "," ","Organic micro pollutants      "
"OMPS2-Dis ","x"," ",   -999.000    ,"(g/m2)              ","dissolved mass OMP in S2                          ","volume    ","volume    "," ","Organic micro pollutants      "
"OMPS2-Par ","x"," ",   -999.000    ,"(g/m2)              ","particulate mass OMP in S2                        ","volume    ","volume    "," ","Organic micro pollutants      "
"lKpocOMPS2","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-POC in S2           ","volume    ","volume    "," ","                              "
"lKphyOMPS2","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-PHYT in S2          ","volume    ","volume    "," ","                              "
"FrOMPDisS2","x"," ",   -999.000    ,"(-)                 ","fraction free dissolved OMP in S2                 ","volume    ","volume    "," ","                              "
"FrOMPDOCS2","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S2 adsorbed to DOC                ","volume    ","volume    "," ","                              "
"FrOMPPOCS2","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S2 adsorbed to POC                ","volume    ","volume    "," ","                              "
"FrOMPPHYS2","x"," ",   -999.000    ,"(-)                 ","fraction OMP in S2 adsorbed to PHYT               ","volume    ","volume    "," ","                              "
"DisOMPS2  ","x"," ",   -999.000    ,"(gOMP/m3p)          ","free dissolved OMP in pore-water S2               ","volume    ","volume    "," ","                              "
"DOCOMPS2  ","x"," ",   -999.000    ,"(gOMP/m3p)          ","OMP adsorbed to DOC in pore-water S2              ","volume    ","volume    "," ","                              "
"QOMPPOCS2 ","x"," ",    0.00000    ,"(gOMP/gC)           ","quality POC for OMP in S2                         ","volume    ","volume    "," ","                              "
"QOMPPHYTS2","x"," ",    0.00000    ,"(gOMP/gC)           ","quality PHYT for OMP in S2                        ","volume    ","volume    "," ","                              "
"OMPS2tot  ","x"," ",   -999.000    ,"(g/m2)              ","total mass OMP in S2                              ","volume    ","volume    "," ","                              "
"QOMPDMS2  ","x"," ",   -999.000    ,"(mgOMP/kgDM)        ","overall sediment quality for OMP in S2            ","volume    ","volume    "," ","                              "
"KdOMPDMS2 ","x"," ",   -999.000    ,"(m3/kgDW)           ","overall partition coefficient OMP in S2           ","volume    ","volume    "," ","                              "
"dSorpOMPS2","x"," ",   -999.000    ,"(gOMP/m3/d)         ","sorption flux OMP inS2                            ","volume    ","volume    "," ","                              "
"OMP-dis   ","x"," ",   -999.000    ,"(g/m3)              ","dissolved concentration OMP                       ","volume    ","volume    ","x","Organic micro pollutants      "
"OMP-par   ","x"," ",   -999.000    ,"(g/m3)              ","particulate concentration OMP                     ","volume    ","volume    ","x","Organic micro pollutants      "
"lKpocOMP  ","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-POC                 ","volume    ","volume    "," ","                              "
"lKphyOMP  ","x"," ",    7.30000    ,"(l/kgC)             ","log partition coefficient OMP-PHYT                ","volume    ","volume    "," ","                              "
"HLTAdsOMP ","x"," ",    0.00000    ,"(d)                 ","half-life time non-eq. adsorption OMP             ","volume    ","volume    "," ","                              "
"HLTDesOMP ","x"," ",    0.00000    ,"(d)                 ","half-life time non-eq. desorption OMP             ","volume    ","volume    "," ","                              "
"FrOMPDis  ","x"," ",   -999.000    ,"(-)                 ","fraction free dissolved OMP in water column       ","volume    ","volume    "," ","                              "
"FrOMPDOC  ","x"," ",   -999.000    ,"(-)                 ","fraction OMP adsorbed to DOC                      ","volume    ","volume    "," ","                              "
"FrOMPPOC  ","x"," ",    0.00000    ,"(-)                 ","fraction OMP adsorbed to POC                      ","volume    ","volume    "," ","                              "
"FrOMPPHYT ","x"," ",    0.00000    ,"(-)                 ","fraction OMP adsorbed to PHYT                     ","volume    ","volume    "," ","                              "
"DisOMP    ","x"," ",   -999.000    ,"(gOMP/m3)           ","free dissolved OMP in water column                ","volume    ","volume    "," ","                              "
"DOCOMP    ","x"," ",   -999.000    ,"(gOMP/m3)           ","DOC-adsorbed OMP in water column                  ","volume    ","volume    "," ","                              "
"QOMPPOC   ","x"," ",   -999.000    ,"(gOMP/gC)           ","quality POC for OMP in water column               ","volume    ","volume    "," ","                              "
"QOMPPHYT  ","x"," ",    0.00000    ,"(gOMP/gC)           ","quality PHYT for OMP in water column              ","volume    ","volume    "," ","                              "
"OMPtot    ","x"," ",   -999.000    ,"(gOMP/m3)           ","concentration OMP in water column                 ","volume    ","volume    "," ","                              "
"QOMPSS    ","x"," ",   -999.000    ,"(mgOMP/kgDW)        ","overall suspended solid quality OMP               ","volume    ","volume    "," ","                              "
"KdOMPSS   ","x"," ",   -999.000    ,"(m3/kgDW)           ","overall partition coefficient OMP in SS           ","volume    ","volume    "," ","                              "
"dSorpOMP  ","x"," ",   -999.000    ,"(gOMP/m3/d)         ","sorption flux OMP                                 ","volume    ","volume    "," ","                              "
"MolOMP    ","x"," ",    252.310    ,"(g/mole)            ","molecular weight OMP                              ","volume    ","volume    "," ","                              "
"LDifOMP   ","x"," ",   0.100000E-04,"(m2/d)              ","mol. diffusion coeff. OMP in water                ","volume    ","volume    "," ","                              "
"GDifOMP   ","x"," ",    1.00000    ,"(m2/d)              ","mol. diffusion coeff. OMP in gas                  ","volume    ","volume    "," ","                              "
"KlOMP     ","x"," ",   -999.000    ,"(m/d)               ","liquid phase exchange coefficient OMP             ","volume    ","volume    "," ","                              "
"KgOMP     ","x"," ",   -999.000    ,"(m/d)               ","gas phase exchange coefficient OMP                ","volume    ","volume    "," ","                              "
"AtmOMP    ","x"," ",    0.00000    ,"(g/m3)              ","concentration OMP in atmosphere                   ","volume    ","volume    "," ","                              "
"HeTrefOMP ","x"," ",   0.890000E-02,"(Pa/m3/mole)        ","Henry's constant OMP at Tref                      ","volume    ","volume    "," ","                              "
"TrefOMP   ","x"," ",    20.0000    ,"(oC)                ","reference temperature for He of OMP               ","volume    ","volume    "," ","                              "
"TFHeOMP   ","x"," ",    12.0000    ,"(-)                 ","thermodynamic const. in f(T) Henry OMP            ","volume    ","volume    "," ","                              "
"kvOMP     ","x"," ",   -999.000    ,"(m/d)               ","volatilisation rate constant OMP                  ","volume    ","volume    "," ","                              "
"cHeOMP    ","x"," ",   -999.000    ,"(-)                 ","dimensionl. Henry const. OMP amb. temp.           ","volume    ","volume    "," ","                              "
"dVolatOMP ","x"," ",   -999.000    ,"(g/m3/d)            ","volatilisation flux OMP                           ","volume    ","volume    "," ","                              "
"ZLossOMP  ","x"," ",    0.00000    ,"(g/m3/d)            ","zeroth-order decay flux OMP                       ","volume    ","volume    "," ","                              "
"RcOMP     ","x"," ",    0.00000    ,"(1/d)               ","first-order rate const. loss OMP                  ","volume    ","volume    "," ","                              "
"TcOMP     ","x"," ",    1.07000    ,"(-)                 ","temperature coefficient loss OMP in water         ","volume    ","volume    "," ","                              "
"SWDegOMP  ","x"," ",    0.00000    ,"(-)                 ","deg.frac.OMP: 0=tot|1=dis|2=dis+DOC               ","volume    ","volume    "," ","                              "
"RcDegOOMP ","x"," ",    0.00000    ,"(1/d)               ","first-order rate const. degr. OMP oxid. cond.     ","volume    ","volume    "," ","                              "
"RcDegROMP ","x"," ",    0.00000    ,"(1/d)               ","first-order rate const. degr. OMP red. cond.      ","volume    ","volume    "," ","                              "
"dLossOMP  ","x"," ",   -999.000    ,"(g/m3/d)            ","overall loss flux OMP in water                    ","volume    ","volume    "," ","                              "
"ZLossOMPS1","x"," ",    0.00000    ,"(g/m2/d)            ","zeroth-order decay flux OMP in S1                 ","volume    ","volume    "," ","                              "
"RcOMPS1   ","x"," ",    0.00000    ,"(1/d)               ","first-order rate const. loss OMP in S1            ","volume    ","volume    "," ","                              "
"TcOMPSed  ","x"," ",    1.00000    ,"(-)                 ","temp. coefficient loss OMP in sediment            ","volume    ","volume    "," ","                              "
"dLossOMPS1","x"," ",   -999.000    ,"(g/m3/d)            ","overall loss flux OMP in S1                       ","volume    ","volume    "," ","                              "
"ZLossOMPS2","x"," ",    0.00000    ,"(g/m2/d)            ","zeroth-order decay flux OMP in S2                 ","volume    ","volume    "," ","                              "
"RcOMPS2   ","x"," ",    0.00000    ,"(1/d)               ","first-order rate const. loss OMP in S2            ","volume    ","volume    "," ","                              "
"dLossOMPS2","x"," ",   -999.000    ,"(g/m3/d)            ","overall loss flux OMP in S2                       ","volume    ","volume    "," ","                              "
"fSedOMP   ","x"," ",   -999.000    ,"(gOMP/m2/d)         ","sedimentation flux OMP                            ","volume    ","volume    "," ","                              "
"VxSedOMP  "," ","x",   -999.000    ,"(m/s)               ","sedimentation velocity OMP                        ","volume    ","volume    "," ","                              "
"dSedOMP   ","x"," ",   -999.000    ,"(gOMP/m3/d)         ","sedimentation flux OMP                            ","volume    ","volume    "," ","                              "
"fAtmDepOMP","x"," ",   -999.000    ,"(gOMP/m2/d)         ","atmospheric deposition flux OMP                   ","volume    ","volume    "," ","                              "
